Date,PIB Per Capita
2020,7.379
2019,8.958
2018,8.266
2017,8.291
2016,7.937
2015,8.688
2014,8.257
2013,8.100
2012,8.003
2011,7.353
2010,7.021
2009,5.772
2008,6.869
2007,7.065
2006,7.245
2005,6.672
2004,6.031
2003,6.261
2002,8.017
2001,8.436
2000,7.756
1999,5.774
